domain,file,classOrFunction,responsibility,input,output,dataSource,timestampSemantics,writesData,trigger,idempotencyMechanism,consumers,testCoverage,preliminaryRisk
provider-link,backend/prisma/schema.prisma,Vehicle.dimoVehicleId,Canonical link between tenant vehicle and DIMO token row,vehicleId,dimoVehicleId FK,PostgreSQL vehicles,N/A (schema),yes (vehicle CRUD),vehicle onboarding / DIMO pairing,unique constraints,Fleet Connectivity; snapshot poll; webhooks,schema migration tests,P1 — broken link yields not_connected everywhere
provider-link,backend/src/modules/dimo/dimo-auth.service.ts,DimoAuthService.getVehicleJwt,Vehicle-scoped JWT for DIMO GraphQL,dimoTokenId,JWT string,DIMO Identity API,token expiry,read-only cache possible,snapshot/webhook processing,token cache TTL,DimoSnapshotProcessor; DimoTelemetryService,partial,P1 — auth failure blocks all telemetry
authorization,backend/prisma/schema.prisma,VehicleProviderConsent,Records provider consent state per vehicle,consent API payloads,consent rows,PostgreSQL,consent granted/revoked at,write on consent flows,HM/DIMO consent UI,unique per provider+vehicle,integration hub; polling eligibility,limited,P2 — consent drift may block ingestion silently
device-binding,backend/src/modules/vehicles/fleet-connectivity.util.ts,mapFleetConnectivityVehicle,Projects provider device binding metadata for fleet UI,Vehicle+DimoVehicle+VehicleLatestState,FleetConnectivityVehicleDto,Prisma join,pairedAt from aftermarketDevice.pairedAt or dimo createdAt,none,GET fleet-connectivity,none,FleetConnectivityTab; DataAnalyse, fleet-connectivity.util.spec.ts,P2 — masked serial only; binding episode not tracked explicitly
snapshot-intake,backend/src/workers/schedulers/dimo-snapshot.scheduler.ts,DimoSnapshotScheduler.enqueueSnapshotJobs,Enqueues per-vehicle snapshot poll every 30s,Dimo-linked vehicles,BullMQ jobs on dimo.snapshot.poll,PostgreSQL vehicles,@Interval 30s wall clock,enqueue only (BullMQ),Nest scheduler,jobId snapshot-<vehicleId> dedupe,DimoSnapshotProcessor,limited integration,P1 — stalled job blocks vehicle polling
snapshot-intake,backend/src/workers/processors/dimo-snapshot.processor.ts,DimoSnapshotProcessor.process,Fetches signalsLatest and upserts VehicleLatestState,vehicleId+dimoTokenId,VehicleLatestState row,DIMO GraphQL signalsLatest,lastSeenAt from signal timestamps; providerFetchedAt now,yes VehicleLatestState upsert,BullMQ job,lockDuration 60s; per-vehicle jobId,Fleet API; reconcile anchor; ClickHouse optional,dimo-snapshot tests partial,P0 — sole writer of canonical telemetry freshness
snapshot-intake,backend/src/modules/dimo/dimo-telemetry.service.ts,DimoTelemetryService.fetchLatestVehicleSnapshot,GraphQL fetch of full snapshot,vehicle JWT+tokenId,raw DIMO payload,DIMO API,provider signal timestamps,read-only HTTP,snapshot processor,HTTP retry in caller,DimoSnapshotProcessor,partial,P1 — GraphQL errors leave stale lastSeenAt
latest-state,backend/prisma/schema.prisma,VehicleLatestState,Canonical latest telemetry projection per vehicle,snapshot normalization fields,queryable columns+rawPayloadJson,PostgreSQL,lastSeenAt=provider signal time; providerFetchedAt=ingest time,yes upsert,snapshot processor,vehicleId unique,all fleet surfaces; device anchor,schema,P0 — freshness truth for connectionStatus
freshness,backend/src/modules/vehicles/fleet-connectivity.util.ts,deriveConnectionStatus,Maps lastSeenAt to online/standby/offline/not_connected,hasProviderLink+lastSeenMs+nowMs,connectionStatus+statusNote,computed from VehicleLatestState.lastSeenAt,now - lastSeenAt thresholds 15m/24h,none,GET fleet-connectivity,none,Fleet UI; DataAnalyse; useFleetObdPlugIndex,fleet-connectivity.util.spec.ts,P1 — diverges from deviceConnection episode state
freshness,backend/src/modules/vehicles/fleet-connectivity.util.ts,deriveFreshnessLabel,Human label Live / N min ago,lastSeenMs+nowMs,freshnessLabel,VehicleLatestState.lastSeenAt,relative to request time,none,fleet-connectivity API,none,FleetConnectivityTab,fleet-connectivity.util.spec.ts,P2 — cosmetic only
snapshot-signals,backend/src/shared/utils/connectivity-signals.ts,extractConnectivitySnapshot,Parses obdIsPluggedIn and jamming from rawPayloadJson,rawPayloadJson signals,obdIsPluggedIn+jamming counts,VehicleLatestState.rawPayloadJson,signal.timestamp when present,none,snapshot ingest / read paths,none,fleet-connectivity; reconcile anchor; vehicle detail,implicit via util specs,P0 — snapshot plug truth not wired to episode closure
webhook-intake,backend/src/modules/dimo/dimo-webhook.controller.ts,DimoWebhookController.handleWebhook,HTTP entry for DIMO Vehicle Triggers,POST body+headers,processed/ignored status,DIMO webhook POST,observedAt from payload timestamp or now,writes via downstream services,DIMO trigger fire,verification token; optional HMAC,DeviceConnectionWebhookService; DtcService; RpmWebhook,dimo-webhook.controller.spec.ts,P0 — only path for UNPLUG event persistence
webhook-intake,backend/src/modules/dimo/device-connection-webhook.service.ts,DeviceConnectionWebhookService.ingestObdPlugStateChange,Persists OBD plug state transitions,vehicle+tokenId+pluggedIn+observedAt,outcome created/duplicate/ignored,dimo_device_connection_events,observedAt from webhook,upsert event row,DIMO webhook,state-change gate; 30s dedup bucket; plug impulse filter,DeviceConnectionQueryService,device-connection-webhook.service.spec.ts,P0 — no snapshot-derived PLUGGED_IN intake
webhook-intake,backend/src/modules/dimo/device-connection-webhook.service.ts,shouldPersistObdPlugStateChange,Pure gate for first baseline and repeated state,lastEventType+incomingPluggedIn,persist boolean,last persisted event,event sequence order,none,intake,none,webhook service,device-connection-webhook.service.spec.ts,P1 — baseline plug ignored by design
device-events,backend/prisma/schema.prisma,DimoDeviceConnectionEvent,Append-only tamper evidence table,webhook intake,event rows,PostgreSQL,observedAt provider time; createdAt ingest time,yes upsert on dedup key,webhook,unique(provider vehicleId eventType dedupBucket),read models; trip evidence,schema,P0 — episode truth source; no auto-close job
read-model,backend/src/modules/dimo/device-connection-read-model.ts,reconcileDeviceConnectionEvents,Filters phantom PLUG after UNPLUG using connectivity anchor,events+anchor,filtered events,events+DimoVehicle.connectionStatus+snapshot obdIsPluggedIn,observedAt ordering,none,read-time summary build,120s impulse window,buildDeviceConnectionSummary; trip flags,device-connection-read-model.spec.ts,P0 — does not close open UNPLUG from snapshot recovery
read-model,backend/src/modules/dimo/device-connection-read-model.ts,buildDeviceConnectionSummary,Computes openUnpluggedEpisode and severity,events+bookings+trips+anchor,DeviceConnectionSummary,dimo_device_connection_events+bookings+trips,nowMs for duration; event observedAt,none,API read,canonical event collapse,DeviceConnectionQuery; Fleet projection,device-connection-read-model.spec.ts,P0 — openUnpluggedEpisode ignores snapshot recovery (INCIDENT_VEHICLE_001)
read-model,backend/src/modules/dimo/device-connection-read-model.ts,buildFleetDeviceConnectionFields,Compact fleet projection from summary,DeviceConnectionSummary,FleetDeviceConnectionDto,derived from summary,inherit event times,none,fleet-connectivity mapping,none,VehiclesService.getFleetConnectivity,device-connection-read-model.spec.ts,P0 — propagates stuck unplug to fleet KPIs
query,backend/src/modules/dimo/device-connection-query.service.ts,DeviceConnectionQueryService.getFleetSummariesForVehicles,Bulk load events+anchors for fleet,orgId+vehicleIds,Map vehicleId→summary,Prisma 7d events+vehicles,nowMs at query time,none,getFleetConnectivity,read-only,vehicles.service,limited,P1 — 7d event window may hide older unplug context
query,backend/src/modules/dimo/device-connection-query.service.ts,DeviceConnectionQueryService.getVehicleSummary,Vehicle detail device connection API,orgId+vehicleId,DeviceConnectionSummary,same as fleet per vehicle,request time,none,GET device-connection,read-only,VehicleDeviceConnectionCard,limited,P1
fleet-api,backend/src/modules/vehicles/vehicles.service.ts,VehiclesService.getFleetConnectivity,Org fleet connectivity endpoint,orgId+query,FleetConnectivityResponseDto,vehicles+dimo+latestState+device summaries,generatedAt request time,none,GET /fleet-connectivity,none,FleetConnectivityTab; DataAnalyse,vehicles.service.fleet-connectivity.spec.ts,P0 — composes parallel truths without cross-reconciliation
fleet-api,backend/src/modules/vehicles/vehicles.controller.ts,VehiclesController.getFleetConnectivity,HTTP route+auth guards,orgId+query params,JSON response,vehicles service,request time,none,HTTP GET,permission fleet-connectivity.read,frontend api.ts,vehicles.controller.fleet-connectivity.spec.ts,P2
fleet-api,backend/src/modules/vehicles/fleet-connectivity.util.ts,buildFleetConnectivitySummary,KPI aggregates for fleet tab,vehicle DTO list,summary counts,computed,request time,none,fleet API,none,FleetConnectivityTab KPI strip,fleet-connectivity.util.spec.ts,P1 — deviceUnpluggedOpenEpisodes KPI reflects webhook-only logic
fleet-api,backend/src/modules/vehicles/fleet-connectivity.util.ts,deriveFleetSignals+computeSignalCoveragePercent,Signal matrix and readiness score,latest state fields,signals+coverage%,VehicleLatestState columns,snapshot presence,none,fleet mapping,none,Fleet UI readiness,fleet-connectivity.util.spec.ts,P2 — readiness unrelated to device episode
ui-fleet,frontend/src/rental/components/fleet-connectivity/FleetConnectivityTab.tsx,FleetConnectivityTab,Primary fleet connectivity UI,GET fleet-connectivity,table+KPI+filters,API,client render time,none,tab mount,client-side filter only,FleetHubView,limited e2e fixtures,P1 — shows contradictory OBD snapshot vs webhook chip
ui-fleet,frontend/src/rental/components/fleet-connectivity/fleet-connectivity.utils.ts,filterFleetConnectivityVehicles,Client filters including device_unplugged_webhook,vehicles+filters,filtered list,API payload,none,none,user interaction,none,FleetConnectivityTab,fleet-connectivity.utils.test.ts,P1 — filter uses openUnpluggedEpisode only
ui-fleet,frontend/src/rental/components/fleet-connectivity/fleet-connectivity.badges.tsx,DeviceConnectionWebhookChip,Renders unplug/plug webhook badge,deviceConnection DTO,chip UI,API,none,none,render,none,Fleet table rows,none,P1 — displays stuck state
ui-fleet,frontend/src/rental/components/fleet-connectivity/FleetConnectivityDetailDrawer.tsx,FleetConnectivityDetailDrawer,Read-only detail drawer,selected vehicle,drawer sections,API,none,none,user click,none,FleetConnectivityTab,none,P2
ui-vehicle,frontend/src/rental/components/vehicle-detail/VehicleDeviceConnectionCard.tsx,VehicleDeviceConnectionCard,Vehicle detail connectivity card,GET device-connection,summary UI,API,none,none,vehicle detail mount,none,VehicleOverviewTab,none,P1 — shows open interruption despite live telemetry
ui-vehicle,frontend/src/rental/lib/device-connection-ui.ts,summarizeFleetDeviceConnection,Text for fleet device connection state,deviceConnection DTO,German label,API derived,none,none,render,none,fleet+vehicle UI,device-connection-ui.test.ts,P1
trips,backend/src/modules/dimo/device-connection-read-model.ts,buildTripDeviceConnectionFlags,Per-trip unplug flags during trip window,trip+events+anchor,TripDeviceConnectionFlags,events in trip window,trip start/end,none,trip list enrichment,reconcile on read,trip timeline chips,device-connection-read-model.spec.ts,P1 — trip chips stuck after recovery
trips,backend/src/modules/dimo/device-connection-query.service.ts,DeviceConnectionQueryService.getTripEvidence,Trip evidence timeline with recovery metadata,tripId,mapped events with recoveryAt,events in trip window,observedAt,none,trip detail API,none,TripDeviceConnectionEvidence,limited,P1 — recovery requires PLUGGED_IN row
trips,frontend/src/rental/components/trips/TripDeviceConnectionEvidence.tsx,TripDeviceConnectionEvidence,Trip-level unplug evidence UI,trip evidence API,timeline,API,none,none,trip expanded view,none,TripTimelineExpanded,none,P2
data-analyse,backend/src/modules/data-analyse/data-analyse.service.ts,DataAnalyseService (device connection section),Debug/monitoring slice for openUnpluggedEpisode,fleet connectivity+events,analyse metrics,fleet API+events,analysis time,none,data analyse tab,none,DataAnalyseView,limited,P2 — mirrors fleet truth
notifications,backend/src/modules/notifications/registry/notification-event-registry.definitions.ts,(no device-unplug registry entry),Notification engine has no dedicated OBD unplug condition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,none,specs only,P1 — no automated alert on stuck unplug episode
alerts,backend/src/modules/alerts,(no connectivity-specific alerts),Alert engine not wired to deviceConnection.openUnpluggedEpisode,N/A,N/A,N/A,N/A,N/A,N/A,N/A,none,none,P2 — operational gap
admin,backend/src/modules/dimo/dimo.controller.ts,getAdminFleetConnectivity,Master admin fleet connectivity view,none,admin fleet list,Prisma,request time,none,admin UI,none,FleetConnectionView,limited,P2 — separate from tenant fleet tab
high-mobility,backend/src/modules/high-mobility/high-mobility-eligibility.service.ts,checkEligibility,HM connectivity_status for OEM path,VIN,eligibility payload,HM API,provider time,read-only,integration hub,none,HM diagnostics,limited,P3 — parallel provider not used for LTE_R1 fleet
clickhouse,backend/src/modules/clickhouse/clickhouse-telemetry.service.ts,ClickHouseTelemetryService,Optional historical telemetry sink,snapshot batches,CH rows,ClickHouse,event time,async insert,snapshot processor,dedupe by design,analytics,limited,P3 — not used for connectivity state
ops-architecture,architecture/DIMO_OBD_WEBHOOK_UNPLUG_ONLY_2026-07-08.md,documentation,Ops: unplug webhook only; plug via snapshot,ops config,expected behavior,docs,N/A,N/A,N/A,N/A,engineering,none,P0 — documents snapshot plug but not episode closure
ops-architecture,architecture/DIMO_DEVICE_CONNECTION_RECONCILE_2026-07-06.md,documentation,Phantom plug reconcile via anchor,prior phantom-plug incident (2026-07-06),read-model rules,docs,N/A,N/A,N/A,N/A,engineering,device-connection-read-model.spec.ts,P0 — reconcile scope is one-directional (suppress false plug only)
hooks,frontend/src/rental/hooks/useFleetObdPlugIndex.ts,useFleetObdPlugIndex,Index of snapshot obdIsPluggedIn per vehicle,fleet-connectivity API,Map vehicleId→plugged,fleet API,snapshot time,none,fleet surfaces,none,operational views,none,P1 — third parallel truth (snapshot only)
