domain,file,classOrFunction,responsibility,input,output,writesData,trigger,idempotencyMechanism,consumers,testCoverage,preliminaryRisk
config,backend/src/modules/vehicle-intelligence/tires/tire-health.config.ts,TIRE_HEALTH_CONFIG,Central thresholds wear factors archetypes regression params,Constants,N/A,false,N/A,N/A,Wear model Health service,indirect via specs,Low
config,backend/src/modules/vehicle-intelligence/tires/tire-health.config.ts,parseAiTireSpec,Parse persisted AI tire spec JSON,AI spec blob,Normalized spec,false,Read path,N/A,Wear model Health,partial,Medium
config,backend/src/modules/vehicle-intelligence/tires/tire-health.config.ts,resolveArchetype,Map vehicle/spec to tire archetype,Setup spec fields,Archetype key,false,Read path,N/A,Wear model,partial,Low
config,backend/src/modules/vehicle-intelligence/tires/tire-health.config.ts,resolveReferenceNewTread,Reference new tread depth mm,Archetype/spec,Millimeters,false,Read path,N/A,Wear model,partial,Low
taxonomy,backend/src/modules/vehicle-intelligence/tires/tire-status.ts,aggregateTireStatus,Combine per-wheel signals to overall GOOD/WATCH/WARNING/CRITICAL,Wheel statuses,Overall status,false,Read path,Pure function,Health RentalHealth Insights,Yes tire-status.spec.ts,Low
taxonomy,backend/src/modules/vehicle-intelligence/tires/tire-status.ts,classifyTreadStatus,Map tread mm to status band,Tread mm threshold,Status enum,false,Read path,Pure function,Health,Yes tire-status.spec.ts,Low
taxonomy,backend/src/modules/vehicle-intelligence/tires/tire-status.ts,resolveDisplayMode,Choose measured vs estimated display,Measurement freshness,Display mode,false,Read path,Pure function,Health UI,Yes tire-status.spec.ts,Low
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,TireHealthService,Canonical tire health read model and recalculation orchestration,vehicleId context,TireHealthSummary Detail,false reads true recalc,API scheduler lifecycle,Recalc overwrites setup; snapshots append,UI RentalHealth Insights HealthSummary,Yes tire-health.spec.ts,Medium
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,getSummary,Quick Box DTO overall status tread display pressure context,vehicleId hmPressure,TireHealthSummary,false,GET /tires/summary,N/A,HealthErrorsView VehicleHealthBox RentalHealth,Yes,Low
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,getDetail,Modal DTO wheels factors explainability history,vehicleId,TireHealthDetail,false,GET /tires/detail,N/A,HealthErrorsView FleetCondition,Yes,Low
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,recalculate,Persist setup health snapshot wear data point RECALCULATION event,vehicleId,Health aggregates,true,POST recalculate hourly worker,Hourly jobId dedupe; snapshots append,Scheduler lifecycle,Yes,Medium
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,updateTireUsageFromTrip,Increment setup km splits and harsh event counters,trip usage dto,true,POST trip enrich,Prisma increment not retry-safe,Trip enrich only,No dedicated test,Medium
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,resolvePressureContext,Merge DIMO latest state and HM pressure signals,vehicleId hm ctx,TirePressureContext,false,Summary detail path,N/A,Health RentalHealth,partial,High
core,backend/src/modules/vehicle-intelligence/tires/tire-health.service.ts,getTireDataQuality,Flags hasActiveSet hasMeasurements for health tab,vehicleId,Quality flags,false,Health aggregation,N/A,HealthSummaryService,Yes,Low
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,TireWearModelService,V2 wear formula all factor computations,vehicleId,TreadEstimate,false reads calibrate writes,Recalc read paths,N/A,Health TiresService,indirect tire-health.spec.ts,Medium
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,computeWearAnalysis,Full per-wheel tread projection explainability,vehicleId,TreadEstimate,false,Recalc and GET wear-analysis,N/A,Health TiresService,partial,Medium
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,computeAxleFactor,Drivetrain load bias per axle,axle driveType weight,Factor,false,Internal,Pure,Wear model,No,Low
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,computeUsageFactor,City highway country wear multiplier,VehicleImpactForTire,Factor,false,Internal,Pure,Wear model,No,Low
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,computeBehaviorFactor,Stress score to wear modulated by AI sensitivity,impact spec,Factor,false,Internal,Pure,Wear model,No,Low
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,computePressureFactor,Underinflation imbalance penalty,pressures spec,Factor,false,Internal,Pure,Wear model,No,High
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,computeHeatStressFactor,Ambient speed pressure driving heat composite,temp speed factors,Factor,false,Internal,Pure,Wear model,No,Medium
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,calibrateKFactor,EMA calibration of k-factor from measured vs predicted,anchors counts,newK alpha,false pure,Measurement path,EMA dampening,Lifecycle,No,Medium
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,calibrateFromMeasurement,Update kFactorFront Rear on setup,setupId wheel mm,k factors,true,recordMeasurement when shouldCalibrate,EMA count increment,Lifecycle,No,Medium
wear,backend/src/modules/vehicle-intelligence/tires/tire-wear-model.service.ts,fitLinearRegression,Regression on TireWearDataPoint history,data points,slope R2,false,Inside computeWearAnalysis,Outlier filter,Wear model,No,Medium
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,TireLifecycleService,All tire mutations measure install rotate replace activate,Command DTOs,Setup event measurement,true,HTTP POST mutations,Transactional events append,Lifecycle controller VehiclesService AI upload,Yes tire-lifecycle.spec.ts,Medium
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,recordMeasurement,Create tread measurement optional k-calibration MEASUREMENT event,RecordTireMeasurementCommand,Measurement,true,API AI upload,New row each call,Controller,Yes,Low
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,installTireSet,Archive current create active setup plus 4 Tire identities,vehicle setup data,Setup,true,POST /tires,Archives prior once,Controller,Yes,Low
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,rotateTires,Position permutation via identity service calibration measurement,template odometer,Setup,true,POST /tires/rotate,Rotation event history,Lifecycle,Yes,Low
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,replaceTires,Partial full replacement single axle full_set,ReplaceTiresCommand,Setup,true,POST /tires/change,New tires at positions,Lifecycle,Yes,Low
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,activateStoredSet,Swap ACTIVE and STORED setups,ActivateStoredSetCommand,Setup,true,POST activate-stored-set,Transactional flip,Lifecycle,partial,Low
lifecycle,backend/src/modules/vehicle-intelligence/tires/tire-lifecycle.service.ts,upsertSetupAndMeasurement,Registration vehicle PUT tire path,UpsertVehicleTireInput,Setup,true,PUT org vehicles tires,Upsert semantics,VehiclesService,No,Medium
identity,backend/src/modules/vehicle-intelligence/tires/tire-identity.service.ts,TireIdentityService,Per-wheel Tire entity CRUD rotation replacement history,Position commands,Tire rows,true,Lifecycle service,active flag history rows,Lifecycle,Yes tire-identity.service.spec.ts,Low
identity,backend/src/modules/vehicle-intelligence/tires/tire-identity.service.ts,ensureTiresForSetup,Backfill 4 active tires if missing,setup tread map,Tire array,true,Install rotate replace,Skips occupied,Lifecycle,Yes,Low
identity,backend/src/modules/vehicle-intelligence/tires/tire-identity.service.ts,applyRotation,Update currentPosition TirePositionHistory,moveMap,Positions,true,Rotation,Transactional batch,Lifecycle,Yes,Low
identity,backend/src/modules/vehicle-intelligence/tires/tire-identity.service.ts,replaceAtPosition,Dismount old mount new TireMeasurement,position tread,Tire,true,Partial replace,Old tire inactive,Lifecycle,Yes,Low
read,backend/src/modules/vehicle-intelligence/tires/tires.service.ts,TiresService,Read-only setup listing wear-analysis passthrough,vehicleId,Setups TreadEstimate,false,GET /tires,N/A,Controller,No,Low
read,backend/src/modules/vehicle-intelligence/tires/tires.service.ts,findSetupsByVehicle,List setups with measurements,vehicleId,Setups,false,HTTP,N/A,Controller UI,No,Low
read,backend/src/modules/vehicle-intelligence/tires/tires.service.ts,getWearAnalysis,Delegate to wear model,vehicleId,TreadEstimate,false,GET wear-analysis,N/A,Controller,No,Low
ai,backend/src/modules/vehicle-intelligence/tires/ai-tire-spec-normalizer.ts,normalizeAiTireSpecResult,Coerce AI extraction blob to typed spec,Raw AI JSON,Normalized spec,false,AI job apply,N/A,AiTireSpecJob Controller,No,Medium
ai,backend/src/modules/ai/vehicle-specs/tire-spec-ai.service.ts,TireSpecAiService,LLM tire spec extraction from documents,Document text,AI spec,false,AI pipeline,N/A,AiTireSpecJob,Yes vehicle-spec-ai.service.spec.ts,Medium
ai,backend/src/modules/ai/vehicle-specs/ai-tire-spec-job.service.ts,AiTireSpecJobService,Async AI tire spec job lifecycle,vehicleId job,Job status,true,API upload,Job idempotency by status,Controller,No,Low
driving-impact,backend/src/modules/vehicle-intelligence/driving-impact/driving-impact.service.ts,DrivingImpactService,Trip and rolling vehicle stress usage scores for tire brake,tripId vehicleId,Impact DTOs,true trip upsert,HF enrichment processor,Upsert on trip impact,Wear model BrakeHealth,Yes driving-impact.service.spec.ts,Medium
driving-impact,backend/src/modules/vehicle-intelligence/driving-impact/driving-impact.service.ts,computeForTrip,Per-trip impact from trip HF events,tripId vehicleId,boolean,true,DrivingImpactProcessor,Upsert skips short trips,Processor,Yes,Low
driving-impact,backend/src/modules/vehicle-intelligence/driving-impact/driving-impact.service.ts,getVehicleImpactForTire,Rolling window city highway country stress,vehicleId,VehicleImpactForTire,false,Wear model read,N/A,Wear model Health confidence,Yes,Low
driving-impact,backend/src/modules/vehicle-intelligence/driving-impact/driving-impact-scorer.ts,computeDrivingStressScore,Pure scoring functions,HF metrics,0-100 score,false,Internal,Pure,DrivingImpactService,Yes stress-level.util.spec.ts,Low
trips,backend/src/modules/vehicle-intelligence/trips/trips.service.ts,TripsService,Trip enrichment road type speeding fields,tripId,Enriched trip,true,POST enrich,N/A,Trip enrich orchestrator,partial,Medium
trips,backend/src/modules/vehicle-intelligence/vehicle-intelligence.controller.ts,enrichTrip,Calls trips enrich then updateTireUsageFromTrip,tripId vehicleId,trip plus usage,true,POST trips enrich,Not idempotent on usage,Health trip path,No,Medium
trips,backend/src/modules/vehicle-intelligence/trips/trip-enrichment-orchestrator.service.ts,enqueueDrivingImpact,Queue driving impact after HF enrich,tripId,Job enqueue,false,Behavior enrichment,N/A,DrivingImpactProcessor,No,Low
dimo,backend/src/workers/processors/dimo-snapshot.processor.ts,DimoSnapshotProcessor,Map DIMO chassisAxle tire pressure to vehicle_latest_state,snapshot payload,Latest state,true,DimoSnapshotScheduler poll,Poll interval,DIMO wear pressure context,No,High
dimo,backend/src/modules/dimo/queries/tire-pressure-history.query.ts,buildTirePressureHistoryQuery,GraphQL 3m buckets FL FR RL RR pressure,tokenId time range,Query string,false,Analytics fetch,N/A,Trip detail analytics,No,Low
dimo,backend/src/modules/dimo/queries/latest-vehicle-snapshot.query.ts,latest snapshot query,Latest snapshot including tire pressure fields,tokenId,GraphQL query,false,DIMO poll,N/A,Snapshot processor,No,Low
hm,backend/src/modules/high-mobility/high-mobility-signal-usage.service.ts,getTirePressureSignals,Cached HM tire pressures derived status freshness,vehicleId,HmTirePressureSignals,false,Summary detail API,N/A,TireHealthService Controller,partial,Medium
hm,backend/src/modules/high-mobility/high-mobility-signal-usage.service.ts,refreshSignalGroup TIRE_PRESSURE,Force HM fetch for tire group,vehicleId,Cache refresh,true,POST refresh-tire-pressure,Cache upsert,UI,No,Low
hm,backend/src/modules/high-mobility/high-mobility-mqtt-payload.util.ts,normalizeHmTirePressures,MQTT V2 array to FL FR RL RR,raw payload,Normalized pressures,false,Ingestion,Pure,Signal usage,No,Low
hm,backend/src/workers/schedulers/hm-health-polling.scheduler.ts,HmHealthPollingScheduler,Periodic HM health poll including tire diagnostics,schedule,Cache refresh,true,Cron interval,Scheduler tick,HM cache,No,Low
rental-health,backend/src/modules/rental-health/rental-health.service.ts,evaluateTires,Map TireHealthSummary to ModuleHealth,summary,ModuleHealth,false,GET rental health,N/A,Rental UI Bookings gate,Yes rental-health.service.spec.ts,Low
rental-health,backend/src/modules/rental-health/rental-health.service.ts,isRentalBlocked,tires.state critical blocks rental,VehicleHealth,boolean,false,Booking create,N/A,BookingsService,Yes,Low
rental-health,backend/src/modules/rental-health/rental-health.service.ts,mapTireStatusToHealth,Canonical TireStatus to rental HealthState,status string,HealthState,false,Internal,Pure,Blocking reasons,Yes,Low
workers,backend/src/workers/schedulers/tire-recalculation.scheduler.ts,TireRecalculationScheduler,Hourly enqueue stale active setups,DB query,Queue jobs,false,Interval 3600000,jobId hour bucket,BullMQ,No,Low
workers,backend/src/workers/processors/tire-recalculation.processor.ts,TireRecalculationProcessor,Run TireHealthService.recalculate,vehicleId,Recalc result,true,Queue dimo.tire.recalculation,BullMQ retry,Health service,No,Low
workers,backend/src/workers/queues/queue-names.ts,TIRE_RECALCULATION,Queue name dimo.tire.recalculation,N/A,Queue constant,false,N/A,N/A,Scheduler processor,No,Low
workers,backend/src/workers/schedulers/data-retention.scheduler.ts,DataRetentionScheduler,Prune tireHealthSnapshot tireWearDataPoint by age,retention config,Deleted counts,true,Cron 0330,running guard,DB maintenance,No,Low
insights,backend/src/modules/business-insights/detectors/tire-critical.detector.ts,TireCriticalDetector,Fleet insights from tire getSummary,org vehicles,Insight candidates,false,BI evaluation,N/A,Notifications tasks,Yes tire-critical.detector.spec.ts,Low
notifications,backend/src/modules/notifications/adapters/rental-health-notification.projector.ts,rental-health projector,tires_critical notification projection,rental health events,Notification drafts,false,Notification engine,N/A,Notification delivery,Yes rental-health-notification.spec.ts,Low
health-summary,backend/src/modules/vehicle-intelligence/health-summary/health-summary.service.ts,HealthSummaryService,Aggregated health tab includes tire data quality,vehicleId,Health tab DTO,false,Health tab API,N/A,Health UI,partial,Low
health-summary,backend/src/modules/vehicle-intelligence/health-summary/ai-health-care-aggregation.service.ts,AiHealthCareAggregationService,AI care signals include HM tire pressure warning,vehicleId,Care signals,false,AI health care,N/A,Health tab,partial,Low
vehicles,backend/src/modules/vehicles/vehicles.service.ts,VehiclesService,Registration PUT tires delegates to lifecycle upsert,vehicle tire input,Setup,true,Vehicle registration,Upsert,Lifecycle,No,Medium
vehicles,backend/src/modules/vehicles/vehicles.service.ts,fleet list legacy tireHealthPercent,Legacy percent on latest state for fleet cards,vehicleId,number,false,Fleet list,N/A,Fleet cards,No,Low
documents,backend/src/modules/document-extraction/document-extraction-apply.service.ts,DocumentExtractionApplyService,TIRE documents to recordMeasurement,extraction doc,Measurement,true,AI document upload,Per upload,Lifecycle,No,Medium
schema,backend/prisma/schema.prisma,VehicleTireSetup,Active stored tire set specs usage health k-factors,ORM,Table rows,true,Mutations recalc,N/A,All tire services,N/A schema review Phase2,Medium
schema,backend/prisma/schema.prisma,Tire,Per-wheel identity position tread km events,ORM,Table rows,true,Lifecycle identity,Position history,Lifecycle wear,No,Low
schema,backend/prisma/schema.prisma,TireHealthSnapshot,Time-series health per recalculation,ORM,Table rows,true,recalculate,Append only,History analytics,No,Low
schema,backend/prisma/schema.prisma,TireWearDataPoint,Regression training predicted vs actual,ORM,Table rows,true,recalculate,Append only,Wear regression,No,Medium
schema,backend/prisma/schema.prisma,TireEvent,Event log ROTATION MEASUREMENT RECALCULATION etc,ORM,Table rows,true,Mutations recalc,Append only,History UI,No,Low
schema,backend/prisma/schema.prisma,VehicleLatestState,tirePressureFl Fr Rl Rr legacy tireHealthPercent,ORM,Table rows,true,DIMO snapshot,Poll overwrite,Pressure wear fleet,No,High
frontend,frontend/src/rental/components/HealthErrorsView.tsx,Tire Quick Box and Detail Modal,Main tire UX summary modal measure rotate change,API responses,UI,false,User navigation,N/A,Vehicle health tab,No E2E,Medium
frontend,frontend/src/rental/lib/tire-health-detail-ui.ts,tire-health-detail-ui,Measured vs estimated labels tread colors wheel grid,DTO fields,Display helpers,false,Render,N/A,HealthErrorsView,Yes tire-health-detail-ui.test.ts,Low
frontend,frontend/src/rental/components/vehicle-detail/VehicleHealthBox.tsx,VehicleHealthBox,Health quick box tire segment among modules,summary,UI segment,false,Vehicle detail,N/A,Vehicle detail,partial,Low
frontend,frontend/src/rental/components/vehicle-detail/vehicle-health-box.mapper.ts,mapVehicleHealthBox,Tire segment from TireHealthSummary overallStatus,summary,Segment state,false,Mapper,Pure,VehicleHealthBox,Yes vehicle-health-box.mapper.test.ts,Low
frontend,frontend/src/rental/components/FleetConditionDetailView.tsx,TiresDetail,Fleet condition drill-down tires category,summary detail,UI,false,Fleet condition,N/A,Fleet UI,No,Low
frontend,frontend/src/rental/components/VehicleInsightsCard.tsx,VehicleInsightsCard,Tire summary in vehicle insights,summary,Card,false,Insights,N/A,Dashboard,No,Low
frontend,frontend/src/operator/tire-measure/OperatorTireMeasureFlow.tsx,OperatorTireMeasureFlow,Operator tread capture flow,measurement input,API POST,false,Operator UI,N/A,Workshop flow,No,Low
frontend,frontend/src/lib/api.ts,vehicleIntelligence tire methods,API client TireHealthSummary Detail types,HTTP,Typed responses,false,All UI clients,N/A,All tire UI,No,Low
api,backend/src/modules/vehicle-intelligence/vehicle-intelligence.controller.ts,tire REST routes,Full REST surface vehicles tires,HTTP DTOs,JSON,true false per route,HTTP,N/A,Frontend services,partial,Low
api,backend/src/modules/rental-health/rental-health.controller.ts,rental health HTTP,Expose vehicle health gate,org vehicle,VehicleHealth,false,HTTP,N/A,Frontend bookings,Yes,Low
clickhouse,backend/src/modules/clickhouse/migrations,HF telemetry tables,High frequency telemetry mirror no tire tables,telemetry,CH rows,true,Post-trip mirror,TTL,Data analyse driving impact,No,Low
observability,backend/src/shared/queue/queue-producer.util.ts,canEnqueueQueue,Skip queue add if Redis unavailable at boot,N/A,boolean,false,Scheduler producers,N/A,All schedulers,Yes queue-monitoring.spec.ts,Low
