field,storageLocation,sourcePriorityOrder,usedInCalculation,usedInDisplay,validationClamp,conflictResolution,revisionSafe,aiDisclosure,userConfirmedGate,risk,notes
matchedBrand,VehicleTireSetup.aiTireSpec JSON,5 manual > 4 AI > 3 registration text,false,true,none,last write wins on ai apply,false,shown in UI if matched,buildPersistedAiTireSpec sets userConfirmedSpec=true on apply,Low,Brand alone does not change wear math
matchedModel,VehicleTireSetup.aiTireSpec JSON,5 manual > 4 AI > 3 registration,false,true,none,AI apply overwrites blob,false,UI shows AI matched badge,userConfirmedSpec adds +30 spec confidence,Low,
matchedVariant,VehicleTireSetup.aiTireSpec JSON,4 AI,false,true,none,AI only,false,rarely shown,none,Low,Display only
tireSizeRaw,VehicleTireSetup.frontDimension rearDimension + aiTireSpec,5 manual registration > 4 AI,false,true,width 100-400 in normalizer,manual columns independent of AI,false,shown in tariff summary,none,Low,Staggered via differing front/rear dimensions
widthMm aspectRatio rimDiameterInch,aiTireSpec + parsed from dimension string,false,true,clamped in normalizer,archetype fallback if missing,false,UI dimensions,none,Low,parseTireWidth extracts width for staggered life adj
loadIndexFront Rear,setup columns + aiTireSpec,5 manual registration > 4 AI,false,true,string passthrough,manual columns win on registration,false,shown in registration UI,none,Low,Confidence +6 if present (loadSpeedIndex)
speedIndexFront Rear,setup columns + aiTireSpec,5 manual > 4 AI,false,true,string passthrough,same as load index,false,display,none,Low,
seasonType,setup.tireSeason enum + aiTireSpec.seasonType,5 manual > 4 AI > 3 archetype inference,true,true,enum normalize summer/winter/all_season,setup.tireSeason is authoritative for model,partial,season badges in UI,none,Medium,Drives replace thresholds season mismatch and tread status bands
runFlat reinforced xl evOptimized,aiTireSpec booleans,4 AI,true,false,bool coerce,archetype inference ev/run_flat,partial,UI spec table,none,Low,xl/reinforced affect load factor discount and expected life +5%
newTreadDepthMm,aiTireSpec + manual initial fields,1 manual front/rear > 2 AI spec > 3 archetype > 4 season fallback,true,false,4.0-16.0 clamp in normalizer,resolveReferenceNewTread priority,AI blob timestamped,false,reference only NOT current tread for used tires,manual must be explicit,High,Wrong AI new tread skews % health if manual missing
legalMinimumMm,aiTireSpec + config default 1.6,true via status,false,true,1.0-3.0 clamp,spec > config legalMinTreadMm 1.6,partial,status CRITICAL at 1.6,none,Medium,Status uses config legal 1.6 not always spec field
recommendedReplacementDepthMm,aiTireSpec,3 in resolveReplacementThreshold,true,false,1.6-6.0 clamp,after operational in priority chain,partial,explainability source label,none,Medium,
operationalReplacementDepthMm,aiTireSpec + archetype replaceMm,1 spec operational > 2 recommended > 3 archetype/season,true,true,1.6-6.0 clamp,resolveReplacementThreshold,partial,shown in detail,none,High,Defines usable tread band for % and remaining km
maxInflationKpa Psi,aiTireSpec,4 AI,true,false,kPa 150-500,used as nominal pressure if present,partial,display,none,High,nominal = maxInflationKpa/100*0.9 bar — unit mix risk if pressure input not bar
longevityBias,aiTireSpec + archetypeDefaults,4 AI > 3 archetype default,true,false,0-2 clamp,multiplies expectedLifeKm in resolveExpectedLifeKm,partial,not prominently labeled as AI,none,Medium,Direct life km scaler ±25% typical
aggressiveDrivingSensitivity,aiTireSpec,4 AI,true,false,0-2 clamp,amplifies behavior factor departure from 1.0,partial,factors tab,none,Medium,Can push behavior factor toward 1.35 cap
underinflationSensitivity,aiTireSpec,4 AI,true,false,0.5-2.0 clamp in pressure factor,scales underinflation stress,partial,explainability,none,High,
heatSensitivity,aiTireSpec,4 AI,true,false,0-2 clamp,scales heat stress composite,partial,factors tab,none,Medium,
payloadBias,aiTireSpec,4 AI,true,false,0-2 clamp,scales load factor departure,partial,rarely shown,none,Low,
urbanBias highwayBias,aiTireSpec,4 AI,false,false,0-2 clamp stored,NOT USED in wear model,partial,may show in AI spec UI,none,Medium,Dead fields — usage comes from DrivingImpact city/highway/country
tireArchetype,aiTireSpec + resolveArchetype,4 AI > 3 inferred from season/ev/runflat, true,true,enum set,archetype defaults for life/tread/replace,partial,shown in summary,none,Medium,
confidenceScore,aiTireSpec.tireSpecConfidence,4 AI,false,true,0-100 clamp,feeds tireSpecConfidence dimension,jobId+fetchedAt in blob,UI says AI matched,auto true on buildPersistedAiTireSpec,Medium,Does not block calculation if low
userConfirmedSpec,aiTireSpec boolean,5 user confirm > 4 AI apply, false,true,bool,buildPersistedAiTireSpec forces true on AI apply,metadata only,+30 spec confidence score,always true on AI persist,P1,Does not gate AI values entering reference tread
specSourceType,aiTireSpec metadata,metadata,false,false,ai_agent|manual|import|ocr,on persist,jobId fetchedAt normalizedAt,partial,not shown to tenant clearly,none,Low,
manufacturerSourceUrl labelSourceUrl,aiTireSpec,4 AI,false,true,http(s) only,append only on job complete,urls in JSON,should indicate AI provenance,none,Low,Revision trail weak — overwritten on re-apply
initialTreadDepthMm,setup column,1 manual measurement/registration > 2 AI never for current, true,true,none,resolveReferenceNewTread manual_confirmed, column initialTreadSource overwritten on recalc, mixed,shown as tread basis,none,High,Used for reference AND identity fallback chain
initialTreadFrontMm initialTreadRearMm,setup columns,1 manual > 2 AI newTread only for reference,true,true,none,staggered support yes,partial,UI axle labels,none,High,Separate axle reference tread
initialTreadSource,setup column written on recalc,derived from wear model TreadSource,false,true,string, mirrors currentTreadSource not initial mount, overwritten each recalc, misleading name,P1,Column name suggests mount source but stores current tread provenance
referenceNewTreadSource,replacementThresholdSource on setup,central resolveReferenceNewTread resolveReplacementThreshold,true,false,enum string,persisted on recalc, yes on setup, explainability in detail,none,Medium,
VehicleTireTreadMeasurement.source,measurement row,1 workshop > 2 manual > 3 ai_confirmed > 4 calibration, true,false,string enum map,per row, append-only history, calibration after rotation marked mixed,none,Medium,
Tire.initialTreadDepthMm,Tire row on create,identity ensureTiresForSetup chain, true,true,none,falls through to 8.0 hardcoded,P0,UI shows as tire baseline,none,P0,8mm fallback when no data
Tire.estimatedTreadMm,Tire row,model output,true,true,mm,updated on partial ops,per recalc,display mode depends on source,none,Medium,
